primaryTitle,ProductionMethod,startYear,ProductionBudget,DomBoxOffice,InterBoxOffice,WorldBoxOffice,averageRating,WWBO2Budget,PROFITvLOSS
,,,,,,,,,
Captain Marvel,Animation/Live Action,2019,175000000,426829839,702897549,1129727388,8.6,6.455585074,VERYPROFITABLE
,,,,,,,,,
Spider-Man: Homecoming,Live Action,2018,175000000,334201140,544145300,878346440,8.4,5.019122514,VERYPROFITABLE
,,,,,,,,,
Justice League,Live Action,2018,300000000,229024295,426920914,655945209,9.3,2.18648403,BREAKEVEN
,,,,,,,,,
Avengers: Endgame,Animation/Live Action,2019,400000000,858373000,1939427564,2797800564,8.6,6.99450141,VERYPROFITABLE
,,,,,,,,,
Avengers: Endgame,Animation/Live Action,2019,400000000,858373000,1939427564,2797800564,8.4,6.99450141,VERYPROFITABLE
,,,,,,,,,
Avengers: Endgame,Animation/Live Action,2019,400000000,858373000,1939427564,2797800564,8.2,6.99450141,VERYPROFITABLE
,,,,,,,,,
Avengers: Endgame,Animation/Live Action,2019,400000000,858373000,1939427564,2797800564,8.2,6.99450141,VERYPROFITABLE
,,,,,,,,,
Spider-Man: Far From Home,Live Action,2019,160000000,390532085,742000747,1132532832,8.4,7.0783302,VERYPROFITABLE
,,,,,,,,,
Spider-Man: No Way Home,Live Action,2021,200000000,804617772,1081688244,1886306016,8.3,9.43153008,VERYPROFITABLE
,,,,,,,,,
Man of Steel,Live Action,2020,225000000,291045518,376954000,667999518,8.9,2.968886747,PROFITABLE
,,,,,,,,,
Man of Steel,Live Action,2021,225000000,291045518,376954000,667999518,8.5,2.968886747,PROFITABLE
,,,,,,,,,
Black Widow,Live Action,2020,200000000,183651655,196100000,379751655,8.2,1.898758275,LOSS
,,,,,,,,,
The Batman,Live Action,2022,200000000,369345583,398814415,768159998,8.1,3.84079999,PROFITABLE
,,,,,,,,,
Spider-Man: No Way Home,Live Action,2022,200000000,804617772,1081688244,1886306016,8.2,9.43153008,VERYPROFITABLE
,,,,,,,,,
Guardians of the Galaxy,Animation/Live Action,2013,170000000,333714112,437168283,770882395,8.2,4.534602324,VERYPROFITABLE
,,,,,,,,,
Man of Steel,Live Action,2013,225000000,291045518,376954000,667999518,8.1,2.968886747,PROFITABLE
,,,,,,,,,
Black Widow,Live Action,2014,200000000,183651655,196100000,379751655,8.3,1.898758275,LOSS
,,,,,,,,,
Logan,Live Action,2017,127000000,226277068,387925247,614202315,8.1,4.836238701,VERYPROFITABLE
,,,,,,,,,
Suicide Squad,Animation/Live Action,2014,175000000,325100054,420644926,745744980,8.3,4.261399886,VERYPROFITABLE
,,,,,,,,,
Guardians of the Galaxy,Animation/Live Action,2014,170000000,333714112,437168283,770882395,8.6,4.534602324,VERYPROFITABLE
,,,,,,,,,
Avengers: Infinity War,Animation/Live Action,2018,300000000,678815482,1369544272,2048359754,8.4,6.827865847,VERYPROFITABLE
,,,,,,,,,
Avengers: Endgame,Animation/Live Action,2019,400000000,858373000,1939427564,2797800564,8.4,6.99450141,VERYPROFITABLE
,,,,,,,,,
Avengers: Age of Ultron,Animation/Live Action,2015,365000000,459005868,936311111,1395316979,8.3,3.822786244,PROFITABLE
,,,,,,,,,
Wonder Woman,Live Action,2016,150000000,412563408,405494813,818058221,8.8,5.453721473,VERYPROFITABLE
,,,,,,,,,
Ant-Man,Live Action,2015,130000000,180202163,338656286,518858449,9.2,3.991218838,PROFITABLE
,,,,,,,,,
Captain America: Civil War,Live Action,2016,250000000,408084349,743834172,1151918521,9.3,4.607674084,VERYPROFITABLE
,,,,,,,,,
Suicide Squad,Animation/Live Action,2016,175000000,325100054,420644926,745744980,8.1,4.261399886,VERYPROFITABLE
,,,,,,,,,
Wonder Woman,Live Action,2016,150000000,412563408,405494813,818058221,8.6,5.453721473,VERYPROFITABLE
,,,,,,,,,
Justice League,Live Action,2016,300000000,229024295,426920914,655945209,8.7,2.18648403,BREAKEVEN
,,,,,,,,,
Black Widow,Live Action,2017,200000000,183651655,196100000,379751655,8.1,1.898758275,LOSS
,,,,,,,,,
Suicide Squad,Animation/Live Action,2016,175000000,325100054,420644926,745744980,8.6,4.261399886,VERYPROFITABLE
,,,,,,,,,
Man of Steel,Live Action,2013,225000000,291045518,376954000,667999518,9.2,2.968886747,PROFITABLE
,,,,,,,,,
Wonder Woman,Live Action,2013,150000000,412563408,405494813,818058221,8.6,5.453721473,VERYPROFITABLE
,,,,,,,,,
Logan,Live Action,2017,127000000,226277068,387925247,614202315,8.1,4.836238701,VERYPROFITABLE
,,,,,,,,,
Spider-Man: Homecoming,Live Action,2017,175000000,334201140,544145300,878346440,8.3,5.019122514,VERYPROFITABLE
,,,,,,,,,
Thor: Ragnarok,Live Action,2017,180000000,315058289,535424489,850482778,8.3,4.724904322,VERYPROFITABLE
,,,,,,,,,
X-Men: Days of Future Past,Live Action,2017,200000000,233921534,513941241,747862775,8.4,3.739313875,PROFITABLE
,,,,,,,,,
Ant-Man,Live Action,2017,130000000,180202163,338656286,518858449,9.2,3.991218838,PROFITABLE
,,,,,,,,,
Thor: Ragnarok,Live Action,2017,180000000,315058289,535424489,850482778,8.4,4.724904322,VERYPROFITABLE
,,,,,,,,,
Justice League,Live Action,2017,300000000,229024295,426920914,655945209,8.6,2.18648403,BREAKEVEN
,,,,,,,,,
Guardians of the Galaxy,Animation/Live Action,2017,170000000,333714112,437168283,770882395,9.2,4.534602324,VERYPROFITABLE
,,,,,,,,,
Avengers: Infinity War,Animation/Live Action,2018,300000000,678815482,1369544272,2048359754,9.5,6.827865847,VERYPROFITABLE
,,,,,,,,,
Avengers: Infinity War,Animation/Live Action,2018,300000000,678815482,1369544272,2048359754,8.1,6.827865847,VERYPROFITABLE
,,,,,,,,,
Deadpool 2,Animation/Live Action,2018,110000000,324591735,461770635,786362370,8.7,7.148748818,VERYPROFITABLE
,,,,,,,,,
Venom,Animation/Live Action,2018,116000000,213511408,642569645,856081053,8.2,7.380009078,VERYPROFITABLE
,,,,,,,,,
Suicide Squad,Animation/Live Action,2019,175000000,325100054,420644926,745744980,8.9,4.261399886,VERYPROFITABLE
,,,,,,,,,
X-Men: Days of Future Past,Live Action,2019,200000000,233921534,513941241,747862775,8.2,3.739313875,PROFITABLE
,,,,,,,,,
Captain Marvel,Animation/Live Action,2019,175000000,426829839,702897549,1129727388,9.1,6.455585074,VERYPROFITABLE
